Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Vehicle Number,Type of Vehicle
23K0597,410514,424175,2,20/03/2015,1140,6,U,1,1,1,Calderdale,1,2,1,71,1,9
23L1288,405959,423580,1,21/03/2015,1754,3,A58,1,1,1,Calderdale,3,3,1,32,1,9
23N0818,401367,426012,2,23/03/2015,1343,3,A646,1,1,1,Calderdale,1,2,1,55,2,4
23N1090,402082,426075,2,23/03/2015,1545,3,A646,1,1,1,Calderdale,1,3,1,61,1,4
23N1324,399338,427286,1,23/03/2015,1658,2,A6033(M),1,1,1,Calderdale,3,3,2,12,1,9
23O0311,407193,428080,2,24/03/2015,815,6,U,1,1,1,Calderdale,1,3,1,17,1,1
23O0335,413527,421052,1,24/03/2015,835,3,A643,1,1,1,Calderdale,3,3,1,84,1,9
23P0959,414523,421188,2,25/03/2015,1620,3,A641,1,1,1,Calderdale,1,3,1,49,1,1
23R1002,408766,426099,2,27/03/2015,1615,6,U,1,1,1,Calderdale,1,3,1,24,1,9
23S0826,414974,425179,3,28/03/2015,1352,3,A649,2,1,1,Calderdale,1,3,1,40,2,9
23S0826,414974,425179,3,28/03/2015,1352,3,A649,2,1,1,Calderdale,1,3,1,40,3,9
23S1327,407728,424172,1,28/03/2015,1900,3,A58,2,4,2,Calderdale,3,2,1,46,1,9
23T0418,395775,427066,1,29/03/2015,1005,6,U,2,1,2,Calderdale,1,2,1,66,1,1
23T1260,408925,426059,1,29/03/2015,2130,6,U,1,4,1,Calderdale,3,3,2,23,1,9
23U1424,406249,425117,1,30/03/2015,1955,6,U,2,6,5,Calderdale,1,3,1,65,1,9
23V0013,416742,422427,1,31/03/2015,10,1,M62,5,4,5,Calderdale,2,3,2,54,1,9
23V1251,412271,428594,1,31/03/2015,1720,3,A6036,2,1,2,Calderdale,3,3,2,37,1,8
2410211,416678,422100,2,01/04/2015,810,3,A644,2,1,2,Calderdale,1,3,1,45,1,5
2410605,408011,426214,2,01/04/2015,1240,6,U,2,1,1,Calderdale,2,3,2,29,1,9
2410605,408011,426214,2,01/04/2015,1240,6,U,2,1,1,Calderdale,1,3,2,67,2,9
2410790,414453,422956,2,01/04/2015,1443,3,A643,2,1,2,Calderdale,1,3,2,84,1,9
2420605,400440,415890,1,02/04/2015,1234,3,A672,1,1,1,Calderdale,2,3,1,24,1,9
2430523,406992,428317,1,03/04/2015,2100,3,A629,1,4,1,Calderdale,3,2,1,48,1,9
2440854,408397,425253,1,04/04/2015,1425,6,U,1,1,1,Calderdale,3,2,1,3,1,9
2441200,409175,426584,2,04/04/2015,1813,6,U,1,1,1,Calderdale,1,2,1,32,1,90
2441655,412222,426224,2,04/04/2015,2215,3,A644,1,4,1,Calderdale,1,2,1,25,2,3
2450749,411826,427840,1,05/04/2015,1315,6,U,1,1,1,Calderdale,3,3,1,30,1,9
2471150,407770,419402,2,07/04/2015,1619,4,B6112,1,1,1,Calderdale,1,2,2,19,2,1
2480838,408463,423612,2,08/04/2015,1430,3,A646,1,1,1,Calderdale,1,3,2,9,2,1
2490598,406674,425488,2,09/04/2015,1248,6,U,1,1,1,Calderdale,1,3,2,35,2,9
2490598,406674,425488,2,09/04/2015,1248,6,U,1,1,1,Calderdale,2,3,1,27,2,9
2490742,407554,424665,1,09/04/2015,1431,6,U,1,1,1,Calderdale,3,2,1,8,1,9
24A0121,414700,423069,1,10/04/2015,255,3,A641,1,4,1,Calderdale,1,3,2,25,1,9
24A0121,414700,423069,1,10/04/2015,255,3,A641,1,4,1,Calderdale,2,3,1,23,1,9
24A0121,414700,423069,1,10/04/2015,255,3,A641,1,4,1,Calderdale,2,3,1,23,1,9
24A0121,414700,423069,1,10/04/2015,255,3,A641,1,4,1,Calderdale,2,3,2,24,1,9
24D0174,413495,420623,2,13/04/2015,725,3,A6107,1,1,1,Calderdale,1,3,1,18,1,3
24D0833,407764,420955,2,13/04/2015,1510,4,B6114,1,1,1,Calderdale,1,3,1,51,1,1
2.40E+305,417818,421046,2,14/04/2015,1617,3,A62,1,1,1,Calderdale,1,3,1,32,2,9
24E0722,414154,423538,2,13/04/2015,1730,6,U,1,1,1,Calderdale,1,3,1,10,2,90
24H0719,409317,424639,2,17/04/2015,719,3,A629,1,1,1,Calderdale,1,3,2,28,2,2
24H0975,403452,418435,2,17/04/2015,1536,3,A672,1,1,1,Calderdale,1,3,1,39,1,9
24K0217,409600,421390,2,20/04/2015,744,4,B6113,1,1,1,Calderdale,1,3,2,24,2,9
24K0220,410787,426272,2,20/04/2015,800,3,A58,1,1,1,Calderdale,1,3,1,28,2,1
24L1025,411028,421173,1,21/04/2015,1555,4,B6114,1,1,1,Calderdale,3,3,1,13,1,9
24M0973,411489,420832,2,22/04/2015,1527,6,U,1,1,1,Calderdale,1,3,1,27,1,9
24N0208,403526,425377,2,23/04/2015,745,3,A646,1,1,1,Calderdale,1,3,2,31,1,9
24P0419,393115,422930,2,25/04/2015,920,6,U,2,1,2,Calderdale,1,3,2,17,1,3
24Q0015,414264,422901,2,26/04/2015,9,3,A6025,1,4,1,Calderdale,1,3,1,25,1,9
24Q0015,414264,422901,2,26/04/2015,9,3,A6025,1,4,1,Calderdale,2,3,2,32,2,8
24Q0015,414264,422901,2,26/04/2015,9,3,A6025,1,4,1,Calderdale,1,3,1,34,2,8
24Q0015,414264,422901,2,26/04/2015,9,3,A6025,1,4,1,Calderdale,2,3,2,32,1,9
24Q0923,411670,420576,3,26/04/2015,1500,3,A629,1,1,1,Calderdale,2,3,2,22,1,9
24Q0923,411670,420576,3,26/04/2015,1500,3,A629,1,1,1,Calderdale,2,3,2,20,1,9
24R0814,416669,422529,1,27/04/2015,1425,6,U,1,1,1,Calderdale,1,3,1,29,1,3
